"Project ID","Project Name","Project Manager","Status","Order Name","Customer","Customer Contact Name","End Customer","PO Value","Est. Cost","Est. GM%","Rev. Cost","Rev. GM %","Act. Cost","Act. GM %","# Del.","# Del. Completed","Del Hit Ratio","Invoiced Amt","Receipts","BOM Del (Amt)","BOM Pending (Amt)","BOM (M) - Open Positions","Vendor Invoices","Vendor Payment","# Delayed Tasks","% Tasks on Time","Requirement Volatility","# Change Requests","# Pending Issues","# Client Reported Issues","# Pending HP Issues","Cust. Type","Del. Node","Business Model","Delivery Model","LOB/PF","Industry of Customer","ESD","EED","RSD","RED","ASD","AED","EE","RE","AE","Avg. Actual Weekly Effort","Est. # Res","Rev. # Res","Act. # Res","EMD Amount","PG Amt","# Total Risks","# Open Risks","Total REI","Planned Value","Earned Value","BAC","ETC","EAC","SV %","SPI","CV %","CPI","TCPI","Type","Program ID","Portfolio ID","Domain"
"110","AIG_GONDA","George","Suspended","","UPTRON POWERTRONICS LTD.","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Security & Surveillance","","10 Jan 2016","09 Jan 2019","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"111","AIG_Kannauj","George","Suspended","","AIG KANNUAJ","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","19 May 2015","18 Dec 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"112","AIG_KAUSHAMBI","George","Suspended","","Indian Army SWC","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","13 May 2015","12 May 2019","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"113","AIG_KUSHINAGAR","George","Suspended","","AIG KUSHINAGAR","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","06 Apr 2015","05 Apr 2018","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"114","AIG_PILIBHIT","George","Suspended","","AIG Pilibhit","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","04 Jun 2015","18 Dec 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"115","State Wide Project","George","Open","","AIG BADAUN","","Ricoh India Ltd. - Uttar Pradesh","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","26 Aug 2013","25 May 2018","26 Nov 2013","","26 Nov 2013","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"116","e-District MMP - Uttar Pradesh","George","Open","","JAIPUR DEVELOPMENT AUTHORITY(JDA)","","Ricoh India Ltd. - Uttar Pradesh","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Government Sector","","","","Smart Governance","","04 Aug 2014","04 Feb 2019","","","04 Aug 2014","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"117","ROLL-OUT OF e-DISTRICT MMP - UTTAR PRADESH for 35 District","George","Suspended","","Railtel Corporation of India Limited","","Ricoh India Ltd. - Uttar Pradesh","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Government Sector","","","","Smart Governance","","26 Aug 2013","25 May 2018","26 Nov 2013","","26 Nov 2013","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"66","Depot Online System - FCI Online Depot Automation","Deepak","Closed","","FCI","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","zOthers","","","","","","16 Sep 2015","16 Sep 2019","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"76","Food Corporation of India - FCI - Online Automation","Deepak","Suspended","","FCI","","FCI","","511,637,565","-91.38","511,637,565","-91.38","427,093,724.25","1,084.28","565","383","","","","","","","","","","","","","47","0","1","zOthers","","","","Smart Governance","","27 Aug 2015","04 Apr 2020","27 Aug 2015","19 Apr 2020","27 Aug 2015","","0","","8","","","","","","","","","","","","","","","","","","","","Contract Project Only","150","133",""
"2","Two Factor Authentication and Aadhaar enabled Services","David","Open","","Sterlite","","LIC","","866,437,024.26","-219.28","873,060,237.25","-221.72","855,528,175.66","-215.94","2","2","","","","","","","","","","","","","47","7","2","","","","","BFSI","","15 Dec 2015","14 Dec 2023","15 Dec 2015","14 Dec 2023","15 Dec 2015","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","148","133",""
"48","HQ Northern Command Broad Band Radio","David","Open","","Airbus","","Army HQ Signals","","150,600,000","26.54","0","0","0","0","6","2","","","","","","","","","","","","","47","0","2","","","","","BFSI","","09 Feb 2016","25 Jul 2017","28 May 2016","31 May 2017","25 Nov 2016","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","149","132",""
"68","Two Factor Authentication and Aadhaar enabled Services","David","Open","","LIC","","LIC","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Government Sector","","","","BFSI","","15 Dec 2015","15 Dec 2023","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"121","SAP Implementation","David","Open","","","","","","0","0","0","0","0","0","1","0","","","","","","","","","","","","","47","0","0","","","","","Healthcare","","13 Mar 2017","30 Mar 2019","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOOT","","131",""
"139","Hospitals & Health System - Strategic","David","Suspended","","Sterlite","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","16 Apr 2017","29 Apr 2018","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOT","138","63",""
"140","Hospitals & Health Systems—Clinical","David","Suspended","","Sterlite","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","16 Apr 2017","29 Apr 2019","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOT","138","63",""
"141","Hospitals & Health Systems—Financial","David","Suspended","","SB-NIRMA","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","BFSI","Banking","16 Apr 2017","16 Apr 2020","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOT","138","63",""
"62","UIDAI-Partha Mitra (WEBEL)","CHANDAN","Suspended","","Assam Govt","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","19 Feb 2016","27 Feb 2017","","","","","0","","0","","","","","","","","","","","","","","","","","","","","PPP","","",""
"69","Railtel 1G Switches","ASHISH","Suspended","","Railtel Corporation of India Limited","","Railtel Corporation of India Limited","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Government Sector","","","","Telecom","","03 Oct 2016","04 Dec 2016","03 Oct 2016","04 Dec 2016","03 Oct 2016","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","138","63",""
